Entity,Code,Day,"Excess mortality P-scores, all ages"
Albania,ALB,2020-01-31,-10.65
Albania,ALB,2020-02-29,2.17
Albania,ALB,2020-03-31,0.62
Albania,ALB,2020-04-30,3.23
Albania,ALB,2020-05-31,6.15
Albania,ALB,2020-06-30,9.3
Albania,ALB,2020-07-31,22.73
Albania,ALB,2020-08-31,44.95
Albania,ALB,2020-09-30,29.39
Albania,ALB,2020-10-31,44.36
Albania,ALB,2020-11-30,118.46
Albania,ALB,2020-12-31,53.58
Andorra,AND,2020-01-31,3.03
Andorra,AND,2020-02-29,40.15
Andorra,AND,2020-03-31,29.87
Andorra,AND,2020-04-30,163.16
Andorra,AND,2020-05-31,80
Andorra,AND,2020-06-30,7.44
Andorra,AND,2020-07-31,12.4
Andorra,AND,2020-08-31,-19.49
Andorra,AND,2020-09-30,14.41
Andorra,AND,2020-10-31,97.67
Andorra,AND,2020-11-30,-22.76
Andorra,AND,2020-12-31,38.51
Armenia,ARM,2020-01-31,-5.89
Armenia,ARM,2020-02-29,2.26
Armenia,ARM,2020-03-31,-6.6
Armenia,ARM,2020-04-30,-2.9
Armenia,ARM,2020-05-31,-6.72
Armenia,ARM,2020-06-30,38.05
Armenia,ARM,2020-07-31,26.37
Armenia,ARM,2020-08-31,1.09
Armenia,ARM,2020-09-30,12.72
Armenia,ARM,2020-10-31,71.71
Armenia,ARM,2020-11-30,161.57
Armenia,ARM,2020-12-31,78.76
Armenia,ARM,2021-01-31,20.8
Armenia,ARM,2021-02-28,11.97
Australia,AUS,2020-01-05,1.39
Australia,AUS,2020-01-12,0.95
Australia,AUS,2020-01-19,2.26
Australia,AUS,2020-01-26,5.12
Australia,AUS,2020-02-02,3.32
Australia,AUS,2020-02-09,4.42
Australia,AUS,2020-02-16,6.18
Australia,AUS,2020-02-23,4.53
Australia,AUS,2020-03-01,4.92
Australia,AUS,2020-03-08,4.67
Australia,AUS,2020-03-15,4.62
Australia,AUS,2020-03-22,7.28
Australia,AUS,2020-03-29,12.13
Australia,AUS,2020-04-05,11.31
Australia,AUS,2020-04-12,6.36
Australia,AUS,2020-04-19,2.95
Australia,AUS,2020-04-26,5.75
Australia,AUS,2020-05-03,3.18
Australia,AUS,2020-05-10,2.64
Australia,AUS,2020-05-17,-0.76
Australia,AUS,2020-05-24,-0.69
Australia,AUS,2020-05-31,-1.66
Australia,AUS,2020-06-07,-5.23
Australia,AUS,2020-06-14,-3.66
Australia,AUS,2020-06-21,-7.5
Australia,AUS,2020-06-28,-6.39
Australia,AUS,2020-07-05,-6.71
Australia,AUS,2020-07-12,-5.7
Australia,AUS,2020-07-19,-10.72
Australia,AUS,2020-07-26,0.01
Australia,AUS,2020-08-02,-5.84
Australia,AUS,2020-08-09,-0.7
Australia,AUS,2020-08-16,-0.99
Australia,AUS,2020-08-23,-8
Australia,AUS,2020-08-30,-8.37
Australia,AUS,2020-09-06,-4.72
Australia,AUS,2020-09-13,-6.67
Australia,AUS,2020-09-20,-4.05
Australia,AUS,2020-09-27,-2.82
Australia,AUS,2020-10-04,-2.18
Australia,AUS,2020-10-11,-4.11
Australia,AUS,2020-10-18,-4.49
Australia,AUS,2020-10-25,-1.52
Australia,AUS,2020-11-01,2.06
Australia,AUS,2020-11-08,1.08
Australia,AUS,2020-11-15,4.83
Australia,AUS,2020-11-22,0.34
Australia,AUS,2020-11-29,0.46
Australia,AUS,2020-12-06,4.23
Australia,AUS,2020-12-13,3.08
Australia,AUS,2020-12-20,3.86
Australia,AUS,2020-12-27,2.16
Austria,AUT,2020-01-05,-10.78
Austria,AUT,2020-01-12,-8.35
Austria,AUT,2020-01-19,0.59
Austria,AUT,2020-01-26,1.83
Austria,AUT,2020-02-02,7.06
Austria,AUT,2020-02-09,-8.43
Austria,AUT,2020-02-16,-5.06
Austria,AUT,2020-02-23,-5.65
Austria,AUT,2020-03-01,-2.62
Austria,AUT,2020-03-08,-0.55
Austria,AUT,2020-03-15,0.39
Austria,AUT,2020-03-22,14.89
Austria,AUT,2020-03-29,7.24
Austria,AUT,2020-04-05,15.3
Austria,AUT,2020-04-12,15.96
Austria,AUT,2020-04-19,11.86
Austria,AUT,2020-04-26,8.01
Austria,AUT,2020-05-03,1.05
Austria,AUT,2020-05-10,5.6
Austria,AUT,2020-05-17,1.78
Austria,AUT,2020-05-24,4.18
Austria,AUT,2020-05-31,0.25
Austria,AUT,2020-06-07,5.49
Austria,AUT,2020-06-14,1.22
Austria,AUT,2020-06-21,0.38
Austria,AUT,2020-06-28,2.73
Austria,AUT,2020-07-05,8.77
Austria,AUT,2020-07-12,0.41
Austria,AUT,2020-07-19,-1.82
Austria,AUT,2020-07-26,-2.47
Austria,AUT,2020-08-02,1.48
Austria,AUT,2020-08-09,0.48
Austria,AUT,2020-08-16,10.02
Austria,AUT,2020-08-23,3.01
Austria,AUT,2020-08-30,5.13
Austria,AUT,2020-09-06,10.59
Austria,AUT,2020-09-13,10.05
Austria,AUT,2020-09-20,10.26
Austria,AUT,2020-09-27,4.1
Austria,AUT,2020-10-04,5.07
